version,request,address,name,before,after,changed_bits,volatile
2.02,CW0832,0x011,TMR2,0xD2,0xD8,"1,3",yes
2.02,CW0832,0x029,RAM_0x029,0x00,0x32,"1,4,5",no
2.02,CW0940,0x001,TMR0,0x97,0xB2,"0,2,5",yes
2.02,CW0940,0x003,STATUS,0x1A,0x3A,5,no
2.02,CW0940,0x00E,TMR1L,0xCF,0xEA,"0,2,5",yes
2.02,CW0940,0x011,TMR2,0xD2,0xED,"0,1,2,3,4,5",yes
2.02,CW0940,0x033,RAM_0x033,0x00,0x40,6,no
2.02,CW0940,0x0D3,RAM_0x0D3,0x00,0x40,6,no
2.02,CW0A00,0x001,TMR0,0x9B,0x99,1,yes
2.02,CW0A00,0x003,STATUS,0x1A,0x1C,"1,2",no
2.02,CW0A00,0x007,PORTC,0x24,0x20,2,no
2.02,CW0A00,0x008,PORTD,0x04,0x84,7,no
2.02,CW0A00,0x00A,PCLATH,0x12,0x02,4,no
2.02,CW0A00,0x00B,INTCON,0xD4,0x14,"6,7",yes
2.02,CW0A00,0x00C,PIR1,0x58,0x59,0,yes
2.02,CW0A00,0x00E,TMR1L,0xD3,0xD1,1,yes
2.02,CW0A00,0x00F,TMR1H,0x95,0x52,"0,1,2,6,7",yes
2.02,CW0A00,0x011,TMR2,0xD6,0xD4,1,yes
2.02,CW0A00,0x020,RAM_0x020,0x08,0x0A,1,no
2.02,CW0A00,0x021,RAM_0x021,0x83,0xC1,"1,6",no
2.02,CW0A00,0x024,RAM_0x024,0x05,0x00,"0,2",no
2.02,CW0A00,0x02D,RAM_0x02D,0x03,0x07,2,no
2.02,CW0A00,0x031,RAM_0x031,0x91,0x4E,"0,1,2,3,4,6,7",no
2.02,CW0A00,0x032,RAM_0x032,0x00,0x01,0,no
2.02,CW0A00,0x055,RAM_0x055,0x00,0x20,5,no
2.02,CW0A00,0x074,RAM_0x074,0x00,0x10,4,no
2.02,CW0A00,0x07F,RAM_0x07F,0x7A,0x00,"1,3,4,5,6",no
2.02,CW0A00,0x0D1,RAM_0x0D1,0x30,0x12,"1,5",no
2.02,CW0A00,0x0D2,RAM_0x0D2,0x00,0x42,"1,6",no
2.02,CW0A00,0x0D3,RAM_0x0D3,0x00,0x2A,"1,3,5",no
2.02,CW0A00,0x0D5,RAM_0x0D5,0x0B,0x00,"0,1,3",no
2.02,CW0B20,0x001,TMR0,0x9B,0xE6,"0,2,3,4,5,6",yes
2.02,CW0B20,0x003,STATUS,0x1A,0x38,"1,5",no
2.02,CW0B20,0x00E,TMR1L,0xD3,0x1E,"0,2,3,6,7",yes
2.02,CW0B20,0x00F,TMR1H,0x95,0x96,"0,1",yes
2.02,CW0B20,0x011,TMR2,0xD6,0x21,"0,1,2,4,5,6,7",yes
2.02,CW0B20,0x03D,RAM_0x03D,0xA9,0x00,"0,3,5,7",no
2.02,CW0B20,0x03E,RAM_0x03E,0x11,0x00,"0,4",no
2.02,CW0B20,0x03F,RAM_0x03F,0xA9,0x00,"0,3,5,7",no
2.02,CW0B20,0x040,RAM_0x040,0x11,0x00,"0,4",no
2.02,CW0B20,0x041,RAM_0x041,0x1C,0x00,"2,3,4",no
2.02,CW0B20,0x042,RAM_0x042,0x0B,0x00,"0,1,3",no
2.02,CW0B20,0x043,RAM_0x043,0x22,0x02,5,no
2.02,CW0B20,0x071,RAM_0x071,0xA9,0x00,"0,3,5,7",no
2.02,CW0B20,0x072,RAM_0x072,0x11,0x00,"0,4",no
2.02,CW0B20,0x0CE,RAM_0x0CE,0x20,0x00,5,no
2.02,CW0B20,0x0D6,RAM_0x0D6,0xA9,0x00,"0,3,5,7",no
2.02,CW0B20,0x0D7,RAM_0x0D7,0x11,0x00,"0,4",no
2.02,CW0C00,0x001,TMR0,0x9B,0x76,"0,2,3,5,6,7",yes
2.02,CW0C00,0x003,STATUS,0x1A,0x3B,"0,5",no
2.02,CW0C00,0x00E,TMR1L,0xD3,0xAE,"0,2,3,4,5,6",yes
2.02,CW0C00,0x00F,TMR1H,0x95,0x9F,"1,3",yes
2.02,CW0C00,0x011,TMR2,0xD6,0xB1,"0,1,2,5,6",yes
2.02,CW0C00,0x020,RAM_0x020,0x08,0x02,"1,3",no
2.02,CW0C00,0x021,RAM_0x021,0x83,0xB1,"1,4,5",no
2.02,CW0C00,0x023,RAM_0x023,0x20,0x00,5,no
2.02,CW0C00,0x024,RAM_0x024,0x05,0xA9,"2,3,5,7",no
2.02,CW0C00,0x031,RAM_0x031,0x91,0x9B,"1,3",no
2.02,CW0C00,0x077,RAM_0x077,0x20,0x00,5,no
2.02,CW0C00,0x078,RAM_0x078,0x00,0xA9,"0,3,5,7",no
2.02,CW0C00,0x07F,RAM_0x07F,0x7A,0x11,"0,1,3,5,6",no
2.02,CW0C00,0x0D4,RAM_0x0D4,0x00,0x1C,"2,3,4",no
2.02,CW0D00,0x001,TMR0,0x9B,0xAB,"4,5",yes
2.02,CW0D00,0x003,STATUS,0x1A,0x39,"0,1,5",no
2.02,CW0D00,0x007,PORTC,0x24,0x07,"0,1,5",no
2.02,CW0D00,0x00E,TMR1L,0xD3,0xE3,"4,5",yes
2.02,CW0D00,0x00F,TMR1H,0x95,0x97,1,yes
2.02,CW0D00,0x011,TMR2,0xD6,0xE6,"4,5",yes
2.02,CW0D00,0x019,TXREG,0x00,0x0A,"1,3",no
2.02,CW0D00,0x020,RAM_0x020,0x08,0x02,"1,3",no
2.02,CW0D00,0x021,RAM_0x021,0x83,0x91,"1,4",no
2.02,CW0D00,0x024,RAM_0x024,0x05,0x00,"0,2",no
2.02,CW0D00,0x02D,RAM_0x02D,0x03,0x83,7,no
2.02,CW0D00,0x031,RAM_0x031,0x91,0x93,1,no
2.02,CW0D00,0x055,RAM_0x055,0x00,0x20,5,no
2.02,CW0D00,0x07F,RAM_0x07F,0x7A,0x0C,"1,2,4,5,6",no
2.02,CW0D00,0x0C2,RAM_0x0C2,0x00,0x82,"1,7",no
2.02,CW0D00,0x0D4,RAM_0x0D4,0x00,0x01,0,no
2.02,CW0D00,0x0D5,RAM_0x0D5,0x0B,0x00,"0,1,3",no
2.02,CW0E14,0x001,TMR0,0x9B,0xA2,"0,3,4,5",yes
2.02,CW0E14,0x003,STATUS,0x1A,0x3A,5,no
2.02,CW0E14,0x00E,TMR1L,0xD3,0xDA,"0,3",yes
2.02,CW0E14,0x011,TMR2,0xD6,0xDD,"0,1,3",yes
2.02,CW0E14,0x051,RAM_0x051,0x00,0x14,"2,4",no
2.02,CW0E14,0x05C,RAM_0x05C,0x00,0x80,7,no
2.06,CW0000,0x001,TMR0,0x9B,0xA0,"0,1,3,4,5",yes
2.06,CW0000,0x003,STATUS,0x18,0x3C,"2,5",no
2.06,CW0000,0x00E,TMR1L,0xDC,0xE1,"0,2,3,4,5",yes
2.06,CW0000,0x011,TMR2,0xC1,0xC6,"0,1,2",yes
2.06,CW0100,0x001,TMR0,0x9B,0xC0,"0,1,3,4,6",yes
2.06,CW0100,0x003,STATUS,0x18,0x3F,"0,1,2,5",no
2.06,CW0100,0x00D,PIR2,0x00,0x10,4,no
2.06,CW0100,0x00E,TMR1L,0xDC,0x01,"0,2,3,4,6,7",yes
2.06,CW0100,0x00F,TMR1H,0xD2,0xE9,"0,1,3,4,5",yes
2.06,CW0100,0x011,TMR2,0xC1,0xE6,"0,1,2,5",yes
2.06,CW0100,0x020,RAM_0x020,0x08,0x12,"1,3,4",no
2.06,CW0100,0x021,RAM_0x021,0xB3,0x87,"2,4,5",no
2.06,CW0100,0x024,RAM_0x024,0x30,0x00,"4,5",no
2.06,CW0100,0x031,RAM_0x031,0xD2,0xE8,"1,3,4,5",no
2.06,CW0100,0x077,RAM_0x077,0x00,0xD4,"2,4,6,7",no
2.06,CW0100,0x07F,RAM_0x07F,0x90,0x46,"1,2,4,6,7",no
2.06,CW0100,0x0D0,RAM_0x0D0,0x00,0x9B,"0,1,3,4,7",no
2.06,CW0100,0x0D1,RAM_0x0D1,0x30,0x01,"0,4,5",no
2.06,CW0100,0x10C,EEDATA,0x77,0x05,"1,4,5,6",no
2.06,CW0100,0x10D,EEADR,0x99,0x02,"0,1,3,4,7",no
2.06,CW0100,0x18D,EECON2,0x00,0xAA,"1,3,5,7",no
2.06,CW0200,0x001,TMR0,0x9B,0xA0,"0,1,3,4,5",yes
2.06,CW0200,0x003,STATUS,0x18,0x38,5,no
2.06,CW0200,0x00E,TMR1L,0xDC,0xE1,"0,2,3,4,5",yes
2.06,CW0200,0x011,TMR2,0xC1,0xC6,"0,1,2",yes
2.06,CW0200,0x051,RAM_0x051,0x00,0x08,3,no
2.06,CW0200,0x0C2,RAM_0x0C2,0x00,0x78,"3,4,5,6",no
2.06,CW0300,0x001,TMR0,0x9B,0xA0,"0,1,3,4,5",yes
2.06,CW0300,0x003,STATUS,0x18,0x3C,"2,5",no
2.06,CW0300,0x00E,TMR1L,0xDC,0xE1,"0,2,3,4,5",yes
2.06,CW0300,0x011,TMR2,0xC1,0xC6,"0,1,2",yes
2.06,CW04A5,0x001,TMR0,0x9F,0x67,"3,4,5,6,7",yes
2.06,CW04A5,0x003,STATUS,0x18,0x39,"0,5",no
2.06,CW04A5,0x007,PORTC,0x24,0x04,5,no
2.06,CW04A5,0x00E,TMR1L,0xE0,0xA8,"3,6",yes
2.06,CW04A5,0x00F,TMR1H,0xD2,0xD3,0,yes
2.06,CW04A5,0x011,TMR2,0xC5,0x8D,"3,6",yes
2.06,CW04A5,0x020,RAM_0x020,0x08,0x02,"1,3",no
2.06,CW04A5,0x021,RAM_0x021,0xA3,0x91,"1,4,5",no
2.06,CW04A5,0x024,RAM_0x024,0x35,0xA5,"4,7",no
2.06,CW04A5,0x031,RAM_0x031,0xD2,0xD3,0,no
2.06,CW04A5,0x048,RAM_0x048,0x00,0xA5,"0,2,5,7",no
2.06,CW04A5,0x07F,RAM_0x07F,0x8F,0x0C,"0,1,7",no
2.06,CW0500,0x001,TMR0,0x9B,0xBA,"0,5",yes
2.06,CW0500,0x008,PORTD,0x04,0x44,6,no
2.06,CW0500,0x00A,PCLATH,0x12,0x02,4,no
2.06,CW0500,0x00B,INTCON,0xD4,0x14,"6,7",yes
2.06,CW0500,0x00E,TMR1L,0xDC,0xFB,"0,1,2,5",yes
2.06,CW0500,0x00F,TMR1H,0xD2,0x92,6,yes
2.06,CW0500,0x011,TMR2,0xC1,0xE0,"0,5",yes
2.06,CW0500,0x020,RAM_0x020,0x08,0x0A,1,no
2.06,CW0500,0x021,RAM_0x021,0xB3,0xF3,6,no
2.06,CW0500,0x024,RAM_0x024,0x30,0x2C,"2,3,4",no
2.06,CW0500,0x031,RAM_0x031,0xD2,0x92,6,no
2.06,CW0500,0x032,RAM_0x032,0x03,0x04,"0,1,2",no
2.06,CW0500,0x075,RAM_0x075,0x00,0x02,1,no
2.06,CW0500,0x078,RAM_0x078,0x00,0x2C,"2,3,5",no
2.06,CW0500,0x07F,RAM_0x07F,0x90,0x00,"4,7",no
2.06,CW0500,0x0D2,RAM_0x0D2,0x30,0x06,"1,2,4,5",no
2.06,CW0500,0x0D3,RAM_0x0D3,0x30,0x06,"1,2,4,5",no
2.06,CW0500,0x0D6,RAM_0x0D6,0x01,0xFF,"1,2,3,4,5,6,7",no
2.06,CW0600,0x001,TMR0,0x9B,0x87,"2,3,4",yes
2.06,CW0600,0x003,STATUS,0x18,0x39,"0,5",no
2.06,CW0600,0x00E,TMR1L,0xDC,0xC8,"2,4",yes
2.06,CW0600,0x00F,TMR1H,0xD2,0xD3,0,yes
2.06,CW0600,0x011,TMR2,0xC1,0xAD,"2,3,5,6",yes
2.06,CW0600,0x020,RAM_0x020,0x08,0x02,"1,3",no
2.06,CW0600,0x021,RAM_0x021,0xB3,0x91,"1,5",no
2.06,CW0600,0x024,RAM_0x024,0x30,0x00,"4,5",no
2.06,CW0600,0x031,RAM_0x031,0xD2,0xD3,0,no
2.06,CW0600,0x056,RAM_0x056,0x80,0xA0,5,no
2.06,CW0600,0x07F,RAM_0x07F,0x90,0x0C,"2,3,4,7",no
2.06,CW0700,0x001,TMR0,0x9B,0xA7,"2,3,4,5",yes
2.06,CW0700,0x003,STATUS,0x18,0x39,"0,5",no
2.06,CW0700,0x00E,TMR1L,0xDC,0xE8,"2,4,5",yes
2.06,CW0700,0x00F,TMR1H,0xD2,0xD3,0,yes
2.06,CW0700,0x011,TMR2,0xC1,0xCD,"2,3",yes
2.06,CW0700,0x020,RAM_0x020,0x08,0x02,"1,3",no
2.06,CW0700,0x021,RAM_0x021,0xB3,0x91,"1,5",no
2.06,CW0700,0x024,RAM_0x024,0x30,0x00,"4,5",no
2.06,CW0700,0x031,RAM_0x031,0xD2,0xD3,0,no
2.06,CW0700,0x07F,RAM_0x07F,0x90,0x0C,"2,3,4,7",no
2.06,CW0832,0x001,TMR0,0x9B,0xA1,"1,3,4,5",yes
2.06,CW0832,0x003,STATUS,0x18,0x38,5,no
2.06,CW0832,0x00E,TMR1L,0xDC,0xE2,"1,2,3,4,5",yes
2.06,CW0832,0x011,TMR2,0xC1,0xC7,"1,2",yes
2.06,CW0832,0x029,RAM_0x029,0x19,0x32,"0,1,3,5",no
2.06,CW0940,0x001,TMR0,0x9B,0x1C,"0,1,2,7",yes
2.06,CW0940,0x003,STATUS,0x1A,0x3B,"0,5",no
2.06,CW0940,0x00C,PIR1,0x59,0x5B,1,yes
2.06,CW0940,0x00E,TMR1L,0xDC,0x5D,"0,7",yes
2.06,CW0940,0x00F,TMR1H,0xD2,0xD5,"0,1,2",yes
2.06,CW0940,0x011,TMR2,0xC1,0x42,"0,1,7",yes
2.06,CW0940,0x020,RAM_0x020,0x08,0x02,"1,3",no
2.06,CW0940,0x021,RAM_0x021,0xB3,0x83,"4,5",no
2.06,CW0940,0x023,RAM_0x023,0x00,0x01,0,no
2.06,CW0940,0x024,RAM_0x024,0x30,0x00,"4,5",no
2.06,CW0940,0x025,RAM_0x025,0x24,0x00,"2,5",no
2.06,CW0940,0x031,RAM_0x031,0xD2,0xD4,"1,2",no
2.06,CW0940,0x033,RAM_0x033,0x57,0x40,"0,1,2,4",no
2.06,CW0940,0x079,RAM_0x079,0x24,0x00,"2,5",no
2.06,CW0940,0x07F,RAM_0x07F,0x50,0x9E,"1,2,3,6,7",no
2.06,CW0940,0x0CE,RAM_0x0CE,0x98,0x40,"3,4,6,7",no
2.06,CW0940,0x0CF,RAM_0x0CF,0x99,0x00,"0,3,4,7",no
2.06,CW0940,0x0D0,RAM_0x0D0,0x40,0x00,6,no
2.06,CW0940,0x0D1,RAM_0x0D1,0x34,0x06,"1,4,5",no
2.06,CW0940,0x0D4,RAM_0x0D4,0x00,0x40,6,no
2.06,CW0940,0x0D6,RAM_0x0D6,0x01,0x00,0,no
2.06,CW0A00,0x001,TMR0,0x9F,0xBA,"0,2,5",yes
2.06,CW0A00,0x003,STATUS,0x1A,0x1C,"1,2",no
2.06,CW0A00,0x008,PORTD,0x04,0x24,5,no
2.06,CW0A00,0x00A,PCLATH,0x12,0x02,4,no
2.06,CW0A00,0x00B,INTCON,0xD4,0x14,"6,7",yes
2.06,CW0A00,0x00E,TMR1L,0xE0,0xFB,"0,1,3,4",yes
2.06,CW0A00,0x00F,TMR1H,0xD2,0x92,6,yes
2.06,CW0A00,0x011,TMR2,0xC5,0xE0,"0,2,5",yes
2.06,CW0A00,0x020,RAM_0x020,0x08,0x0A,1,no
2.06,CW0A00,0x021,RAM_0x021,0x83,0xF1,"1,4,5,6",no
2.06,CW0A00,0x024,RAM_0x024,0x30,0x00,"4,5",no
2.06,CW0A00,0x031,RAM_0x031,0xD2,0x92,6,no
2.06,CW0A00,0x032,RAM_0x032,0x03,0x04,"0,1,2",no
2.06,CW0A00,0x056,RAM_0x056,0x80,0xA0,5,no
2.06,CW0A00,0x075,RAM_0x075,0x00,0x02,1,no
2.06,CW0A00,0x07F,RAM_0x07F,0x03,0x00,"0,1",no
2.06,CW0A00,0x0D2,RAM_0x0D2,0x30,0x12,"1,5",no
2.06,CW0A00,0x0D3,RAM_0x0D3,0x30,0x12,"1,5",no
2.06,CW0B20,0x001,TMR0,0x9F,0xD8,"0,1,2,6",yes
2.06,CW0B20,0x003,STATUS,0x1A,0x3B,"0,5",no
2.06,CW0B20,0x00E,TMR1L,0xE0,0x19,"0,3,4,5,6,7",yes
2.06,CW0B20,0x00F,TMR1H,0xD2,0xD3,0,yes
2.06,CW0B20,0x011,TMR2,0xC5,0xFE,"0,1,3,4,5",yes
2.06,CW0B20,0x03F,RAM_0x03F,0x2C,0x68,"2,6",no
2.06,CW0B20,0x040,RAM_0x040,0x24,0x01,"0,2,5",no
2.06,CW0B20,0x041,RAM_0x041,0x20,0x68,"3,6",no
2.06,CW0B20,0x042,RAM_0x042,0x1C,0x01,"0,2,3,4",no
2.06,CW0B20,0x043,RAM_0x043,0x21,0x01,5,no
2.06,CW0B20,0x0D0,RAM_0x0D0,0x20,0x00,5,no
2.06,CW0B20,0x0D4,RAM_0x0D4,0x00,0x68,"3,5,6",no
2.06,CW0B20,0x0D5,RAM_0x0D5,0x00,0x01,0,no
2.06,CW0C00,0x001,TMR0,0x9F,0xB8,"0,1,2,5",yes
2.06,CW0C00,0x003,STATUS,0x1A,0x38,"1,5",no
2.06,CW0C00,0x00E,TMR1L,0xE0,0xF9,"0,3,4",yes
2.06,CW0C00,0x00F,TMR1H,0xD2,0xD7,"0,2",yes
2.06,CW0C00,0x011,TMR2,0xC5,0xDE,"0,1,3,4",yes
2.06,CW0C00,0x020,RAM_0x020,0x08,0x02,"1,3",no
2.06,CW0C00,0x021,RAM_0x021,0x83,0xC3,6,no
2.06,CW0C00,0x024,RAM_0x024,0x30,0x9E,"1,2,3,5,7",no
2.06,CW0C00,0x025,RAM_0x025,0x24,0x10,"2,4,5",no
2.06,CW0C00,0x031,RAM_0x031,0xD2,0xD7,"0,2",no
2.06,CW0C00,0x078,RAM_0x078,0x00,0x2C,"2,3,5",no
2.06,CW0C00,0x07F,RAM_0x07F,0x03,0x00,"0,1",no
2.06,CW0C00,0x0D2,RAM_0x0D2,0x30,0x18,"3,5",no
2.06,CW0C00,0x0D3,RAM_0x0D3,0x30,0x1F,"0,1,2,3,5",no
2.06,CW0C00,0x0D4,RAM_0x0D4,0x00,0x2C,"2,3,5",no
2.06,CW0C00,0x0D5,RAM_0x0D5,0x00,0x24,"2,5",no
2.06,CW0C00,0x0D6,RAM_0x0D6,0x01,0xFF,"1,2,3,4,5,6,7",no
2.06,CW0D00,0x001,TMR0,0x9F,0xA7,"3,4,5",yes
2.06,CW0D00,0x003,STATUS,0x1A,0x39,"0,1,5",no
2.06,CW0D00,0x007,PORTC,0x24,0x27,"0,1",no
2.06,CW0D00,0x00E,TMR1L,0xE0,0xE8,3,yes
2.06,CW0D00,0x00F,TMR1H,0xD2,0xD4,"1,2",yes
2.06,CW0D00,0x011,TMR2,0xC5,0xCD,3,yes
2.06,CW0D00,0x019,TXREG,0x00,0x0A,"1,3",no
2.06,CW0D00,0x020,RAM_0x020,0x08,0x02,"1,3",no
2.06,CW0D00,0x021,RAM_0x021,0x83,0x91,"1,4",no
2.06,CW0D00,0x024,RAM_0x024,0x30,0x00,"4,5",no
2.06,CW0D00,0x02D,RAM_0x02D,0x07,0x87,7,no
2.06,CW0D00,0x031,RAM_0x031,0xD2,0xD4,"1,2",no
2.06,CW0D00,0x056,RAM_0x056,0x80,0xA0,5,no
2.06,CW0D00,0x07F,RAM_0x07F,0x03,0x0C,"0,1,2,3",no
2.06,CW0D00,0x0C2,RAM_0x0C2,0x00,0x82,"1,7",no
2.06,CW0D00,0x0D5,RAM_0x0D5,0x00,0x01,0,no
2.06,CW0E14,0x001,TMR0,0x9F,0xA6,"0,3,4,5",yes
2.06,CW0E14,0x003,STATUS,0x1A,0x3A,5,no
2.06,CW0E14,0x00E,TMR1L,0xE0,0xE7,"0,1,2",yes
2.06,CW0E14,0x011,TMR2,0xC5,0xCC,"0,3",yes
2.06,CW0E14,0x052,RAM_0x052,0x00,0x14,"2,4",no
2.06,CW0E14,0x05D,RAM_0x05D,0x00,0x80,7,no
2.06,CW0F00,0x001,TMR0,0x9F,0xA5,"1,3,4,5",yes
2.06,CW0F00,0x003,STATUS,0x1A,0x3B,"0,5",no
2.06,CW0F00,0x00E,TMR1L,0xE0,0xE6,"1,2",yes
2.06,CW0F00,0x011,TMR2,0xC5,0xCB,"1,2,3",yes
2.70,CW0000,0x001,TMR0,0x9A,0x9F,"0,2",yes
2.70,CW0000,0x003,STATUS,0x18,0x3C,"2,5",no
2.70,CW0000,0x00E,TMR1L,0xE0,0xE5,"0,2",yes
2.70,CW0000,0x011,TMR2,0xC0,0xC5,"0,2",yes
